,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1121,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Western,the searchers,John Wayne Jeffrey Hunter Vera Miles John Ford Western
1122,Fred M. Wilcox,Walter Pidgeon,Anne Francis,Leslie Nielsen,Science Fiction,forbidden planet,Walter Pidgeon Anne Francis Leslie Nielsen Fred M. Wilcox Science Fiction
1123,George Stevens,Elizabeth Taylor,Rock Hudson,James Dean,Drama Western,giant,Elizabeth Taylor Rock Hudson James Dean George Stevens Drama Western
1124,Ishirō Honda,Raymond Burr,Akira Takarada,Momoko Kôchi,Science Fiction Horror,"godzilla, king of the monsters!",Raymond Burr Akira Takarada Momoko Kôchi Ishirō Honda Science Fiction Horror
1125,Ernst Marischka,Romy Schneider,Karlheinz Böhm,Magda Schneider,Drama Comedy Romance,sissi: the young empress,Romy Schneider Karlheinz Böhm Magda Schneider Ernst Marischka Drama Comedy Romance
1126,Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards,Crime Drama Thriller,the killing,Sterling Hayden Coleen Gray Vince Edwards Stanley Kubrick Crime Drama Thriller
1127,Jean Delannoy,Gina Lollobrigida,Anthony Quinn,Jean Danet,Drama History,the hunchback of notre dame,Gina Lollobrigida Anthony Quinn Jean Danet Jean Delannoy Drama History
1128,King Vidor,Audrey Hepburn,Henry Fonda,Mel Ferrer,Drama War Romance History,war and peace,Audrey Hepburn Henry Fonda Mel Ferrer King Vidor Drama War Romance History
1129,Charles Walters,Bing Crosby,Grace Kelly,Frank Sinatra,Comedy Music Romance,high society,Bing Crosby Grace Kelly Frank Sinatra Charles Walters Comedy Music Romance
1130,Don Siegel,Kevin McCarthy,Dana Wynter,King Donovan,Horror Science Fiction,invasion of the body snatchers,Kevin McCarthy Dana Wynter King Donovan Don Siegel Horror Science Fiction
1131,Walter Lang,Deborah Kerr,Yul Brynner,Rita Moreno,Drama Romance Adventure Music,the king and i,Deborah Kerr Yul Brynner Rita Moreno Walter Lang Drama Romance Adventure Music
1132,Fred F. Sears,Hugh Marlowe,Joan Taylor,Donald Curtis,Action Science Fiction,earth vs. the flying saucers,Hugh Marlowe Joan Taylor Donald Curtis Fred F. Sears Action Science Fiction
1133,Michael Anderson,David Niven,"Mario Moreno ""Cantinflas""",Finlay Currie,Adventure Comedy Family Fantasy Romance,around the world in eighty days,"David Niven Mario Moreno ""Cantinflas"" Finlay Currie Michael Anderson Adventure Comedy Family Fantasy Romance"
1134,Mark Robson,Humphrey Bogart,Rod Steiger,Jan Sterling,Drama,the harder they fall,Humphrey Bogart Rod Steiger Jan Sterling Mark Robson Drama
1135,Roger Vadim,Brigitte Bardot,Jean-Louis Trintignant,Curd Jürgens,Drama Romance,...and god created woman,Brigitte Bardot Jean-Louis Trintignant Curd Jürgens Roger Vadim Drama Romance
1136,Douglas Sirk,Rock Hudson,Lauren Bacall,Robert Stack,Drama Romance,written on the wind,Rock Hudson Lauren Bacall Robert Stack Douglas Sirk Drama Romance
1137,Alain Resnais,Michel Bouquet,Reinhard Heydrich,Heinrich Himmler,History Documentary War,night and fog,Michel Bouquet Reinhard Heydrich Heinrich Himmler Alain Resnais History Documentary War
1138,Robert Rossen,Richard Burton,Fredric March,Claire Bloom,Action Adventure Drama History War,alexander the great,Richard Burton Fredric March Claire Bloom Robert Rossen Action Adventure Drama History War
1139,Albert Lamorisse,Pascal Lamorisse,Georges Sellier,Vladimir Popov,Comedy Drama Family Fantasy,the red balloon,Pascal Lamorisse Georges Sellier Vladimir Popov Albert Lamorisse Comedy Drama Family Fantasy
1140,Sidney Lumet,Martin Balsam,John Fiedler,Lee J. Cobb,Drama,12 angry men,Martin Balsam John Fiedler Lee J. Cobb Sidney Lumet Drama
1141,Stanley Donen,Audrey Hepburn,Fred Astaire,Kay Thompson,Comedy Romance,funny face,Audrey Hepburn Fred Astaire Kay Thompson Stanley Donen Comedy Romance
1142,David Lean,William Holden,Alec Guinness,Jack Hawkins,Drama History War,the bridge on the river kwai,William Holden Alec Guinness Jack Hawkins David Lean Drama History War
1143,Billy Wilder,Charles Laughton,Tyrone Power,Marlene Dietrich,Drama Mystery Crime,witness for the prosecution,Charles Laughton Tyrone Power Marlene Dietrich Billy Wilder Drama Mystery Crime
1144,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Fantasy Drama,the seventh seal,Max von Sydow Gunnar Björnstrand Bengt Ekerot Ingmar Bergman Fantasy Drama
1145,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,Drama War,paths of glory,Kirk Douglas Ralph Meeker Adolphe Menjou Stanley Kubrick Drama War
1146,Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Drama,wild strawberries,Victor Sjöström Bibi Andersson Ingrid Thulin Ingmar Bergman Drama
1147,Ernst Marischka,Romy Schneider,Karlheinz Böhm,Magda Schneider,Romance Drama History,sissi: the fateful years of an empress,Romy Schneider Karlheinz Böhm Magda Schneider Ernst Marischka Romance Drama History
1148,Delmer Daves,Glenn Ford,Van Heflin,Felicia Farr,Western Drama Thriller,3:10 to yuma,Glenn Ford Van Heflin Felicia Farr Delmer Daves Western Drama Thriller
1149,Robert Stevenson,Tommy Kirk,Dorothy McGuire,Fess Parker,Adventure Drama Family Western,old yeller,Tommy Kirk Dorothy McGuire Fess Parker Robert Stevenson Adventure Drama Family Western
1150,Akira Kurosawa,Toshirō Mifune,Isuzu Yamada,Takashi Shimura,Drama History,throne of blood,Toshirō Mifune Isuzu Yamada Takashi Shimura Akira Kurosawa Drama History
1151,Terence Fisher,Peter Cushing,Hazel Court,Robert Urquhart,Horror Science Fiction,the curse of frankenstein,Peter Cushing Hazel Court Robert Urquhart Terence Fisher Horror Science Fiction
1152,Nathan H. Juran,William Hopper,Joan Taylor,Frank Puglia,Science Fiction Horror,20 million miles to earth,William Hopper Joan Taylor Frank Puglia Nathan H. Juran Science Fiction Horror
1153,John Sturges,Burt Lancaster,Kirk Douglas,Jo Van Fleet,Western,gunfight at the o.k. corral,Burt Lancaster Kirk Douglas Jo Van Fleet John Sturges Western
1154,Jack Arnold,Grant Williams,Randy Stuart,April Kent,Drama Science Fiction Horror,the incredible shrinking man,Grant Williams Randy Stuart April Kent Jack Arnold Drama Science Fiction Horror
1155,Nunnally Johnson,Joanne Woodward,David Wayne,Lee J. Cobb,Drama,the three faces of eve,Joanne Woodward David Wayne Lee J. Cobb Nunnally Johnson Drama
1156,Mikhail Kalatozov,Tatyana Samoylova,Aleksey Batalov,Vasili Merkuryev,Drama Romance War,the cranes are flying,Tatyana Samoylova Aleksey Batalov Vasili Merkuryev Mikhail Kalatozov Drama Romance War
1157,Leo McCarey,Cary Grant,Deborah Kerr,Richard Denning,Drama Romance,an affair to remember,Cary Grant Deborah Kerr Richard Denning Leo McCarey Drama Romance
1158,Billy Wilder,Gary Cooper,Audrey Hepburn,Maurice Chevalier,Comedy Crime Drama Romance,love in the afternoon,Gary Cooper Audrey Hepburn Maurice Chevalier Billy Wilder Comedy Crime Drama Romance
1159,Joshua Logan,Marlon Brando,Patricia Owens,James Garner,Drama Romance,sayonara,Marlon Brando Patricia Owens James Garner Joshua Logan Drama Romance
1160,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Mystery Romance Thriller,vertigo,James Stewart Kim Novak Barbara Bel Geddes Alfred Hitchcock Mystery Romance Thriller
1161,Nathan H. Juran,Kerwin Mathews,Kathryn Grant,Torin Thatcher,Action Adventure Family Fantasy,the 7th voyage of sinbad,Kerwin Mathews Kathryn Grant Torin Thatcher Nathan H. Juran Action Adventure Family Fantasy
1162,Akira Kurosawa,Toshirō Mifune,Minoru Chiaki,Kamatari Fujiwara,Adventure Drama Action Comedy,the hidden fortress,Toshirō Mifune Minoru Chiaki Kamatari Fujiwara Akira Kurosawa Adventure Drama Action Comedy
1163,Terence Fisher,Peter Cushing,Christopher Lee,Michael Gough,Horror,dracula,Peter Cushing Christopher Lee Michael Gough Terence Fisher Horror
1164,Henry King,Gregory Peck,Joan Collins,Stephen Boyd,Western,the bravados,Gregory Peck Joan Collins Stephen Boyd Henry King Western
1165,Orson Welles,Charlton Heston,Janet Leigh,Orson Welles,Crime Thriller Mystery,touch of evil,Charlton Heston Janet Leigh Orson Welles Orson Welles Crime Thriller Mystery
1166,Louis Malle,Jeanne Moreau,Maurice Ronet,Georges Poujouly,Crime Drama Thriller,elevator to the gallows,Jeanne Moreau Maurice Ronet Georges Poujouly Louis Malle Crime Drama Thriller
1167,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Drama,cat on a hot tin roof,Elizabeth Taylor Paul Newman Burl Ives Richard Brooks Drama
1168,Irvin S. Yeaworth Jr.,Steve McQueen,Aneta Corsaut,Earl Rowe,Horror Science Fiction,the blob,Steve McQueen Aneta Corsaut Earl Rowe Irvin S. Yeaworth Jr. Horror Science Fiction
1169,Richard Fleischer,Kirk Douglas,Tony Curtis,Ernest Borgnine,Action Adventure History,the vikings,Kirk Douglas Tony Curtis Ernest Borgnine Richard Fleischer Action Adventure History
1170,Roy Ward Baker,Kenneth More,Ronald Allen,Robert Ayres,Drama Action History,a night to remember,Kenneth More Ronald Allen Robert Ayres Roy Ward Baker Drama Action History
1171,Nathan H. Juran,Allison Hayes,William Hudson,Yvette Vickers,Horror Science Fiction,attack of the 50 foot woman,Allison Hayes William Hudson Yvette Vickers Nathan H. Juran Horror Science Fiction
1172,William Wyler,Gregory Peck,Jean Simmons,Carroll Baker,Drama Western Romance,the big country,Gregory Peck Jean Simmons Carroll Baker William Wyler Drama Western Romance
1173,Anthony Mann,Gary Cooper,Julie London,Lee J. Cobb,Western Drama Romance,man of the west,Gary Cooper Julie London Lee J. Cobb Anthony Mann Western Drama Romance
1174,Melville Shavelson,Cary Grant,Sophia Loren,Martha Hyer,Comedy Drama Family Romance,houseboat,Cary Grant Sophia Loren Martha Hyer Melville Shavelson Comedy Drama Family Romance
